20241213	12:27:55	269b4e9d-d555-4e10-b027-802fa009e38c	/ 	 undefined 	  OPTIONS
20241213	12:27:55	0d81b6d1-dfa1-410b-bc8d-59af7a1163ef	/ 	 undefined 	  GET
20241213	12:28:11	6446eb64-d7cd-4ef2-b5e9-b3448cc0f994	/ 	 undefined 	  GET
20241213	12:28:11	861c9e85-c78f-4474-94b9-b3739108ae7c	/css/style.css 	 undefined 	  GET
20241213	12:30:22	fb52dd43-32db-463e-a1bb-fd0ca280a088	/ 	 undefined 	  OPTIONS
20241213	12:30:22	ac6ed206-775b-4613-8c62-c79edf0fdd8a	/ 	 undefined 	  GET
20241213	12:35:31	e7ceae77-45b7-49f4-a31b-dab0aa83b331	/ 	 https://www.google.com 	  OPTIONS
20241213	12:35:31	2636ce35-8a0c-40e5-a70c-abc3197c92d9	/ 	 https://www.google.com 	  GET
20241213	13:00:21	bb108b40-a373-4855-892a-a85a72214933	/ 	 https://www.google.com 	  OPTIONS
20241213	13:00:21	7e516e19-6cbc-4331-bbf1-4de6debd7809	/ 	 https://www.google.com 	  GET
20241213	13:00:48	aa04fc83-1e98-4bd2-bea4-745b53ee15b1	/ 	 https://www.google.com 	  OPTIONS
20241213	13:00:48	0d852fba-6197-4126-a658-c7792ab38510	/ 	 https://www.google.com 	  GET
20241213	13:01:36	b355af44-d728-4d50-9b93-c7dc8eade35a	/ 	 https://www.google.com 	  OPTIONS
20241213	13:01:36	112d6d1b-e29e-4583-b578-cc01820ddfc8	/ 	 https://www.google.com 	  GET
20241213	13:02:15	c8977efb-e5dc-4ef9-b417-49f4fcb2fef0	/ 	 https://www.google.com 	  OPTIONS
20241213	13:02:15	78975a9e-72fe-4ba1-bc90-b58295f15600	/ 	 https://www.google.com 	  GET
20241213	13:02:21	c9b49590-4bc8-4e17-8052-530cced36026	/ 	 undefined 	  GET
20241213	13:02:22	26939f09-e72c-47ad-95ff-fc082c56b5ce	/css/style.css 	 undefined 	  GET
20241213	13:03:32	833fd075-7874-4f29-a77c-0507c2cb48d4	/ 	 https://www.google.com 	  OPTIONS
20241213	13:03:32	03e8fc6b-0b53-4199-a950-ac5762b1af55	/ 	 https://www.google.com 	  GET
20241213	13:05:38	04b3de64-d6f6-4146-8baf-288b6bb9f68b	/ 	 https://www.google.com 	  OPTIONS
20241213	13:05:38	7f4795bb-8209-4800-ad9a-98abc04740c9	/ 	 https://www.google.com 	  GET
20241213	13:16:21	9de6e014-5f3d-4ece-ba8e-12040ab3523d	/index.html 	 undefined 	  GET
20241213	13:16:21	4f6d3463-24a1-459a-add4-e1b9c2bf504a	/css/style.css 	 undefined 	  GET
20241213	13:16:34	546c0605-345e-43b9-920f-39a54f5b5591	/index.html 	 undefined 	  GET
20241213	13:16:34	10686a5b-32e2-436d-bee7-343b2489ee30	/css/style.css 	 undefined 	  GET
20241213	13:16:36	4de1f92f-9369-47cc-bcff-f46abd9a7a3b	/css/style.css 	 undefined 	  GET
20241213	13:17:06	6f9b2f50-1714-43eb-8876-10fb5949c2db	/ 	 undefined 	  GET
20241213	13:17:06	79a749f1-d253-4fb5-ac07-3420d07de944	/css/style.css 	 undefined 	  GET
20241213	13:17:12	5ebc84da-0d42-4a65-8a55-14a66175f341	/index.html 	 undefined 	  GET
20241213	13:17:12	aedc87b3-3ef6-4053-a6ed-0e1c150dc382	/css/style.css 	 undefined 	  GET
20241213	13:17:25	b31eaf1b-66d6-4a3c-9793-acb66c4126b5	/css/style.css 	 undefined 	  GET
20241213	13:17:40	87b45b57-51e1-420b-b0e7-750aab2f972c	/index.html 	 undefined 	  GET
20241213	13:17:40	33394683-5fc2-4399-9c88-35fa5d17bfa9	/css/style.css 	 undefined 	  GET
20241213	13:18:37	1269f9cf-8f75-4ea5-a0d6-c33aa02d3d16	/ 	 https://www.google.com 	  OPTIONS
20241213	13:18:37	8e3a6f78-9249-4078-bca0-dd2f54433b00	/ 	 https://www.google.com 	  GET
20241213	13:21:40	88db4d3e-1466-4258-a116-7ec19af634f8	/index.html 	 undefined 	  GET
20241213	13:21:40	4a8a70c6-cacd-4143-9b61-79e68f3186d1	/css/style.css 	 undefined 	  GET
20241213	13:21:52	a44728c9-eb89-4ec8-8a9c-3235f65f3471	/index.html 	 undefined 	  GET
20241213	13:21:52	15640e50-83fb-4108-8ddd-20f2b7790c67	/css/style.css 	 undefined 	  GET
20241213	15:56:30	e159f211-8f03-49e6-9137-aa6a1e087939	/ 	   GET  	 undefined 
20241213	15:56:30	d4bd3334-1d12-4622-a05c-1aee16950fa3	/css/style.css 	   GET  	 undefined 
20241213	15:56:36	2d2c4200-0dae-4e51-a99b-64b2545dad1f	/jhdjikw 	   GET  	 undefined 
20241213	15:56:36	ffc9e23d-89f4-43b8-b7d5-9dc0e33e3121	/css/style.css 	   GET  	 undefined 
20241213	15:56:55	dfcc0369-bd2e-4818-9a6a-b9bada7e130b	/gg.json 	   GET  	 undefined 
20241213	15:56:55	c5902127-1f9b-4333-b9b3-a4bd4520c4bd	/css/style.css 	   GET  	 undefined 
20241214	00:26:03	3654c821-e28e-4282-b298-142026d25bfd	/subdir 	   GET  	 undefined 
20241214	00:26:03	642427f2-fed9-4bfb-8271-6cff9f6bae6d	/css/style.css 	   GET  	 undefined 
20241214	00:26:21	0b5fc21d-3cea-4829-8c5a-aa39c3ec83b3	/views 	   GET  	 undefined 
20241214	00:26:21	8bd438b0-b225-4897-8889-bd562e0808a2	/css/style.css 	   GET  	 undefined 
20241214	00:26:31	1b93996e-2660-4d4b-8efe-49eb4854859f	/new-page 	   GET  	 undefined 
20241214	00:26:31	ff97e41f-a8b2-4bd7-a014-874a9c9042ad	/css/style.css 	   GET  	 undefined 
20241214	00:26:31	36bff066-bcf5-4e10-8853-3d5b991b4a48	/img/img1.jpg 	   GET  	 undefined 
20241214	00:36:41	5c3553f8-71eb-492a-8e7e-3d777e5d976d	/new-page 	   GET  	 undefined 
20241214	00:36:42	38d44ae3-b954-4ae3-b7d6-81e44898cd07	/css/style.css 	   GET  	 undefined 
20241214	00:36:42	53340aef-0a0d-481c-8934-aec37974c7cf	/img/img1.jpg 	   GET  	 undefined 
20241214	00:36:53	ceda80f5-f83d-45bd-9bed-b36a2fce12b4	/subdir 	   GET  	 undefined 
20241214	00:37:04	c7a6cb60-dd54-46b5-a15a-6159fe1a25d1	/test 	   GET  	 undefined 
20241214	00:37:04	e2b512fe-d1ba-4c2a-b5da-b4a868ad3640	/css/style.css 	   GET  	 undefined 
20241214	00:37:10	13eebe5d-6876-4d14-ac60-1747d55efb65	/test.html 	   GET  	 undefined 
20241214	00:37:10	e6a70245-c5de-4eb1-b242-fda9491ee79e	/css/style.css 	   GET  	 undefined 
20241214	00:37:59	22e69094-6fd4-4e83-9f97-1736e697c913	/test.html 	   GET  	 undefined 
20241214	00:37:59	910eec84-605b-4641-b12f-bcb8aaa9a7f1	/css/style.css 	   GET  	 undefined 
20241214	00:38:03	a3c0d4f6-7c81-470d-8144-176249f96368	/test 	   GET  	 undefined 
20241214	00:38:04	347b4cfc-1d83-44f6-9687-a0a5699a11ae	/css/style.css 	   GET  	 undefined 
20241214	00:39:32	9e4bc973-bce9-4aad-a02e-293d9659dba9	/subdir 	   GET  	 undefined 
20241214	00:39:39	4f21b21b-2648-4af9-9bd7-96de6b43e059	/subdir/test 	   GET  	 undefined 
20241214	00:39:52	0339e174-d2ad-450e-8890-803d8b2d057d	/subdir/test/ 	   GET  	 undefined 
20241214	00:46:35	8e84c983-6fb5-40a4-b498-630fb8fb5b34	/subdir 	   GET  	 undefined 
20241214	00:46:36	71cab29f-6062-414d-a37b-b9f861f36862	/ 	   GET  	 undefined 
20241214	00:46:36	0c83e05f-e928-4d08-9cf9-77b496575298	/css/style.css 	   GET  	 undefined 
20241214	00:46:42	cd884de6-cef8-4956-ad01-75999129cbfe	/new-page 	   GET  	 undefined 
20241214	00:46:42	5dd7b562-8eea-48ce-8afa-ce016917b8c3	/css/style.css 	   GET  	 undefined 
20241214	00:46:42	dbb9a5c6-d8b4-48df-a242-01c56ae32daf	/img/img1.jpg 	   GET  	 undefined 
20241214	00:46:49	95eafc53-317d-4b65-b1a2-84cdcda00b9f	/index.html 	   GET  	 undefined 
20241214	00:46:49	70f8cb36-af11-458b-bd9f-fee60b2b12fc	/css/style.css 	   GET  	 undefined 
20241214	00:57:11	2425d062-0528-4ca6-b107-04f6180e39eb	/ 	   GET  	 undefined 
20241214	00:57:11	240da483-2979-46ff-978f-59f2f0430a89	/css/style.css 	   GET  	 undefined 
20241214	00:57:11	34b8d5a7-4f5a-4c9c-8882-0d52f12f7e2c	/favicon.ico 	   GET  	 undefined 
20241214	00:57:19	3ae017b0-55f5-43ba-8fa3-a62c33ad5606	/old-page 	   GET  	 undefined 
20241214	00:57:19	47c1c768-f61e-4275-b60c-28005cdba40d	/new-page.html 	   GET  	 undefined 
20241214	00:57:19	39998e5b-1e70-4c31-be3b-8bb41f0a4047	/img/img1.jpg 	   GET  	 undefined 
20241214	00:57:19	82c4fbbf-9527-4cf6-b3df-9c4617a888b9	/css/style.css 	   GET  	 undefined 
20241214	00:57:25	5220f3e8-f62f-49cf-b373-812c9c4ebd54	/subdir 	   GET  	 undefined 
20241214	00:57:33	3e624981-3892-4e24-ad2c-9dc33a7a4668	/subdir/tests 	   GET  	 undefined 
20241214	00:57:33	6b4dee3a-556e-45cc-895c-e1a7af7e0856	/css/style.css 	   GET  	 undefined 
20241214	00:57:37	342f9905-ae7c-4e83-abe0-f21e25c98fe6	/subdir/test 	   GET  	 undefined 
20241214	00:57:49	b32b6501-1cd4-4c93-89c7-90ed9248e257	/subdir/test/gfd 	   GET  	 undefined 
20241214	00:57:49	78a82bf3-8dc7-4177-a998-5a382ab9a9ef	/subdir/css/style.css 	   GET  	 undefined 
20241214	00:57:59	f5ba36ab-ae95-4503-8665-7064962a012b	/subdir/tes 	   GET  	 undefined 
20241214	00:57:59	67499a26-77ea-40c6-ab21-c65fee4cc6fd	/css/style.css 	   GET  	 undefined 
20241214	00:59:16	414354f5-e782-40d7-8bb7-2874aa433d69	/subdir/test/s 	   GET  	 undefined 
